Ticket ID,Phase,Title,Description,Dependencies
3.5,Phase 3: App Integration,Update chat route tool execution,"In src/app/api/chat/route.ts replace GA4 tool execution with BigQuery tool execution. Remove dependency on user Google OAuth token for data queries.",3.4
3.6,Phase 3: App Integration,Update alert system for BigQuery,"Modify src/lib/alert-content.ts and src/app/api/alerts/send/route.ts to use BigQuery tools instead of GA4 tools. Remove getValidGoogleTokenForUser() dependency for data fetching.",3.5
3.7,Phase 3: App Integration,Add query cost guardrails,"Set maximumBytesBilled on every BigQuery query (e.g. 1 GB per query). Add LIMIT enforcement. Log query bytes billed for monitoring. Alert if a single customer exceeds a daily threshold.",3.2
3.8,Phase 3: App Integration,Update properties endpoint,"Modify src/app/api/analytics/properties/route.ts to return properties that have active BigQuery datasets not just GA4 API-accessible properties.",3.2
4.1,Phase 4: Onboarding Flow,Add DataSource model to Prisma schema,"New model: DataSource with fields id userId teamId type (enum: GA4_BIGQUERY) propertyId bigqueryDataset status (enum: PENDING ACTIVE ERROR) createdAt updatedAt. Run migration.",None
4.2,Phase 4: Onboarding Flow,Build BigQuery export status checker,"API endpoint or utility that checks whether a GA4 property has an active BigQuery link. Use the GA4 Admin API listBigQueryLinks method.",4.1
4.3,Phase 4: Onboarding Flow,Build onboarding UI for BigQuery export enablement,"After user selects a GA4 property show a step that checks if BQ export is enabled. If yes create DataSource record as ACTIVE. If no show instructions to enable it with a Check again button.",4.2
4.4,Phase 4: Onboarding Flow,Build data readiness check,"Background job or API that checks whether a PENDING DataSource has data in BigQuery yet (first events_* table exists). Flip status to ACTIVE when ready. Optionally notify user via email.",4.1
4.5,Phase 4: Onboarding Flow,Handle historical backfill (optional),"For new customers optionally backfill the last 90 days of data from GA4 Data API into BigQuery so they don't start with an empty dataset. Create a one-time ETL job.",4.1
5.1,Phase 5: Migration & Cutover,Add usesBigQuery flag to property/data source,"Per-property boolean (on DataSource or a feature flag table) that controls which data path the chat route uses. Default false.",4.1
5.2,Phase 5: Migration & Cutover,Implement dual-path routing in chat route,"In chat route check the usesBigQuery flag. If true use BigQuery tools. If false use GA4 tools. Both paths produce the same response structure so the frontend is unaware.","3.5, 5.1"
5.3,Phase 5: Migration & Cutover,Implement dual-path routing in alert system,"Same as 5.2 but for alerts/send route and alert-content.ts.","3.6, 5.1"
5.4,Phase 5: Migration & Cutover,Enable BigQuery path on internal/test accounts,"Flip the flag for team accounts. Run all alert types and common chat queries. Validate charts scorecards and data accuracy against GA4 API responses.",5.2
5.5,Phase 5: Migration & Cutover,Parallel validation: compare outputs side-by-side,"For 2-4 weeks log both GA4 API and BigQuery responses for the same queries on test accounts. Build a comparison report. Fix any data model issues surfaced.",5.4
5.6,Phase 5: Migration & Cutover,Gradual rollout to customers,"Enable BigQuery path for customers who have active BigQuery export. Batch by cohort (10% then 50% then 100%). Monitor for errors and data accuracy issues.",5.5
5.7,Phase 5: Migration & Cutover,Deprecate GA4 API data path,"Remove GA4 API data-fetching code (src/lib/ga4.ts) old tool definitions and token refresh logic for data queries. Keep OAuth flow for onboarding only.",5.6
6.1,Phase 6: Multi-Source Data,Extend DataSource model for additional types,"Add enum values: STRIPE SEARCH_CONSOLE HUBSPOT etc. Add config JSON field for source-specific connection details.",5.7
6.2,Phase 6: Multi-Source Data,Build Google Search Console to BigQuery pipeline,"Enable Search Console BigQuery export (native) or build ETL. Create dbt models: search_queries search_pages. Add tools for Claude.",6.1
6.3,Phase 6: Multi-Source Data,Build Stripe/Paystack to BigQuery pipeline,"Use Stripe Sigma/Data Pipeline or a connector (Fivetran/Airbyte) to sync to BigQuery. Create dbt models: payments subscriptions revenue_daily. Add tools for Claude.",6.1
6.4,Phase 6: Multi-Source Data,Build cross-source mart models,"Models that join analytics + revenue + search data. E.g. page_performance joining pageviews + search impressions + conversion revenue per page.",6.2
6.5,Phase 6: Multi-Source Data,Update Claude tools for multi-source queries,"Extend tool definitions so Claude can query across sources. Update system prompt to describe available data sources per customer.",6.4
6.6,Phase 6: Multi-Source Data,Build data source management UI,"Settings page where customers connect/disconnect data sources see sync status and manage what is flowing into their BigQuery dataset.",6.1
